account_id|customer_id|account_number|account_type|balance|available_balance|currency|opened_date|is_active
ACCT0382B914|CUST000044|CHE271164|checking|3309.97|3309.97|USD||1
ACCTA946F269|CUST000045|CHE691130|checking|15000|15000|USD||1
ACCTDC1ECBFB|CUST000046|CHE164529|checking|12136.55|12136.55|USD||1
ACCT83EFAFCC|CUST000046|SAV224110|savings|4513.73|4513.73|USD||1
ACCTAD0A15CF|CUST000047|CHE159281|checking|1020.23|1020.23|USD||1
ACCT75061B72|CUST000047|CHE292643|checking|3628.95|3628.95|USD||1
ACCT88C63060|CUST000047|CHE440909|checking|1294|1294|USD||1
ACCTF2D0A33C|CUST000048|CHE853450|checking|10795.9|10795.9|USD||1
ACCTC1A21AAA|CUST000049|CHE800904|checking|2087.04|2087.04|USD||1
ACCT0994E445|CUST000050|CHE183607|checking|15000|15000|USD||1
ACCT75B7C54C|CUST000050|CHE275534|checking|2547.34|2547.34|USD||1
ACCT12DD366E|CUST000051|CHE788632|checking|5341.94|5341.94|USD||1
ACCTDB3AD69F|CUST000051|SAV228402|savings|17200.14|17200.14|USD||1
ACCTC933FC59|CUST000052|CHE787314|checking|1203.19|1203.19|USD||1
ACCTAA63D728|CUST000052|SAV777533|savings|50000|50000|USD||1
ACCT277A5841|CUST000053|CHE689677|checking|712.88|712.88|USD||1
ACCTD4E5F9CB|CUST000053|CRE241217|credit|0|10000|USD||1
ACCT59AF728E|CUST000054|CHE786077|checking|8265.16|8265.16|USD||1
ACCT0C9D6630|CUST000054|SAV561186|savings|38391.46|38391.46|USD||1
ACCT512802FB|CUST000055|CHE495324|checking|2599.06|2599.06|USD||1
ACCT41ABDE77|CUST000055|SAV339528|savings|3078.4|3078.4|USD||1
ACCT855DFBBC|CUST000056|CHE160891|checking|2535.52|2535.52|USD||1
ACCT17FB3F7D|CUST000057|CHE617753|checking|4984.74|4984.74|USD||1
ACCT28329EA2|CUST000058|CHE916620|checking|500|500|USD||1
ACCT26D01FF2|CUST000058|SAV316297|savings|6724.02|6724.02|USD||1
ACCTA9653E6B|CUST000059|CHE304415|checking|865.12|865.12|USD||1
ACCT7504140D|CUST000060|CHE771416|checking|1359.94|1359.94|USD||1
ACCTA7A697C2|CUST000061|CHE850660|checking|12554.15|12554.15|USD||1
ACCT0FA10378|CUST000061|SAV989676|savings|4246.44|4246.44|USD||1
ACCT9F5A2B79|CUST000062|CHE387198|checking|2295.4|2295.4|USD||1
ACCTB842676B|CUST000063|CHE436996|checking|12448.31|12448.31|USD||1
ACCTEEE2509C|CUST000064|CHE314129|checking|15000|15000|USD||1
ACCTBC57E704|CUST000065|CHE158768|checking|1264.45|1264.45|USD||1
ACCT77AAB2AC|CUST000065|CRE900325|credit|0|1000|USD||1
ACCT44F6EF0C|CUST000066|CHE599088|checking|4559.25|4559.25|USD||1
ACCT74250528|CUST000067|CHE386862|checking|6008.24|6008.24|USD||1
ACCT90A19F9C|CUST000068|CHE930719|checking|5109.44|5109.44|USD||1
ACCTCEA058D1|CUST000069|CHE526232|checking|15000|15000|USD||1
ACCT1BAA68FB|CUST000070|CHE261253|checking|2261.15|2261.15|USD||1
ACCT2F5B35AC|CUST000070|SAV782104|savings|15766.97|15766.97|USD||1
ACCT823F16D0|CUST000070|SAV646126|savings|17042.97|17042.97|USD||1
ACCT067ACA82|CUST000071|CHE107007|checking|5766.89|5766.89|USD||1
ACCT535A2148|CUST000071|SAV513597|savings|15706.05|15706.05|USD||1
ACCTD7BCDC8C|CUST000072|CHE745657|checking|3547.43|3547.43|USD||1
ACCT810BC8F9|CUST000073|CHE216024|checking|2671.4|2671.4|USD||1
ACCT8EF503CF|CUST000073|INV153492|investment|55067.32|55067.32|USD||1
ACCTE5802D04|CUST000074|CHE842119|checking|9755.42|9755.42|USD||1
ACCT07170AA8|CUST000074|SAV493268|savings|15146.21|15146.21|USD||1
ACCTB6CE8CE3|CUST000075|CHE526476|checking|1264.77|1264.77|USD||1
