customer_id|first_name|last_name|email|phone|date_of_birth|city|state|zip_code
CUST000065|Kyle|Anderson|juliemartinez@gmail.com|380.779.1153x072|1974-11-05|||
CUST000066|Cody|Lowe|watsonedgar@yahoo.com|001-806-231-6372x3398|1913-06-16|||
CUST000067|Kimberly|Chandler|toddschaefer@yahoo.com|001-901-429-7388x29340|1923-05-12|||
CUST000068|Mary|Anderson|ayoung@hotmail.com|+1-509-545-8497x5021|2014-11-26|||
CUST000069|Philip|Fuentes|patricia57@yahoo.com|385.988.2776|1954-05-25|||
CUST000070|Victoria|Clark|ymurphy@gmail.com|889-414-1585x5137|1974-09-26|||
CUST000071|Andrew|Wilson|juarezsylvia@yahoo.com|257-965-6875x41449|1979-04-02|||
CUST000072|Jennifer|Huber|karensmith@yahoo.com|+1-482-890-9302x076|1934-02-11|||
CUST000073|Darrell|Ibarra|james09@gmail.com|001-643-395-2789x3930|1996-10-22|||
CUST000074|Rebecca|Lewis|petersalicia@yahoo.com|001-296-729-9574x509|2015-08-01|||
CUST000075|Cynthia|Larson|dhill@yahoo.com|599-741-4895|2009-05-24|||
